id;name;lon;lat;kwds
N3997522045;Hauptstraße/Schillerstraße;13.3693452;52.5877837;transport,busstop
N3997934595;Adria Grill;13.2080229;52.4258277;food,restaurant
N3998179577;Möbel-Eck-Lenz;13.4240487;52.5438111;shop,departmentstore
N3998225896;S Savignyplatz;13.3189562;52.5051098;transport,station
N3998722660;Am Rosenhag;13.6215728;52.5245594;transport,busstop
N3998722661;Am Rosenhag;13.6219506;52.5249567;transport,busstop
N3998722662;Branitzer Straße;13.6224832;52.5332855;transport,busstop
N3998722663;Hönower Straße/Riesaer Straße;13.6252543;52.5284394;transport,busstop
N3998722664;Hönower Straße/Riesaer Straße;13.6253987;52.5295861;transport,busstop
N3998722665;Hönower Straße/Riesaer Straße;13.6265250;52.5297595;transport,busstop
N3998722666;Karlshafener Straße;13.6175152;52.5202800;transport,busstop
N3998722667;Karlshafener Straße;13.6177696;52.5205477;transport,busstop
N3998722668;Linderhofstraße;13.6146072;52.5172058;transport,busstop
N3998722669;Linderhofstraße;13.6149577;52.5175748;transport,busstop
N3998722670;Neuenhagener Straße;13.6089225;52.5092402;transport,busstop
N3998722671;Neuenhagener Straße;13.6090963;52.5102174;transport,busstop
N3998722672;Neuenhagener Straße;13.6093441;52.5108977;transport,busstop
N3998722673;Schwarzheider Straße;13.6224774;52.5360872;transport,busstop
N3998722674;U Louis-Lewin-Straße;13.6199016;52.5391441;transport,busstop
N3998722675;U-Bahnhof Louis-Lewin-Straße;13.6199470;52.5390150;transport,busstop
N3998722676;U-Bahnhof Louis-Lewin-Straße;13.6202825;52.5395765;transport,busstop
N3998722677;U-Bahnhof Louis-Lewin-Straße;13.6196748;52.5398321;transport,busstop
N3998722678;Wildrosengehölz;13.6245141;52.5276517;transport,busstop
N3998722699;Branitzer Straße;13.6225699;52.5332829;transport,busstop
N3998722703;Schwarzheider Straße;13.6225619;52.5361191;transport,busstop
N3998729854;Mahlsdorfer Straße/Thälmannstraße;13.6308703;52.5340390;transport,busstop
N3998729855;Mahlsdorfer Straße/Thälmannstraße;13.6310267;52.5341928;transport,busstop
N3998796728;Kiosk;13.3477676;52.4819121;shop,kiosk
N3998920846;Camphausenstraße;13.2516018;52.4281003;transport,busstop
N3998920847;Clauertstraße;13.2296377;52.4273893;transport,busstop
N3998920848;Radtkestraße;13.2480342;52.4269819;transport,busstop
N3999121690;Am Birkenknick;13.2662383;52.4147833;transport,busstop
N3999121691;Am Birkenknick;13.2660201;52.4155098;transport,busstop
N3999121692;Am Rehwechsel;13.2669473;52.4119390;transport,busstop
N3999121693;Am Rehwechsel;13.2668781;52.4123299;transport,busstop
N3999121694;Badstraße;13.2634666;52.4040993;transport,busstop
N3999121695;Jahnsportplatz;13.2601623;52.4046867;transport,busstop
N3999121696;Jahnstraße;13.2597049;52.4017834;transport,busstop
N3999121697;Laehrstraße;13.2648273;52.4192228;transport,busstop
N3999121698;Laehrstraße;13.2646683;52.4196846;transport,busstop
